2024-11-04 00:00:53: 52.27 V, 0.91 psi, 6.21 psi
2024-11-04 03:33:06: 53.32 V, 0.49 psi, 6.19 psi
2024-11-04 03:34:06: 53.22 V, 0.52 psi, 6.20 psi
2024-11-04 03:35:06: 53.24 V, 0.58 psi, 6.19 psi
2024-11-04 03:36:06: 53.26 V, 0.62 psi, 6.19 psi
2024-11-04 03:37:06: 53.24 V, 0.67 psi, 6.19 psi
2024-11-04 03:38:06: 53.29 V, 0.71 psi, 6.19 psi
2024-11-04 03:39:06: 53.30 V, 0.75 psi, 6.19 psi
2024-11-04 03:40:06: 53.34 V, 0.81 psi, 6.19 psi
2024-11-04 03:41:06: 53.35 V, 0.84 psi, 6.19 psi
2024-11-04 03:42:07: 53.25 V, 0.90 psi, 6.19 psi
2024-11-04 03:43:07: 53.27 V, 0.94 psi, 6.19 psi
2024-11-04 03:44:07: 53.29 V, 1.00 psi, 6.19 psi
2024-11-04 03:45:07: 53.31 V, 1.04 psi, 6.19 psi
2024-11-04 03:46:07: 53.31 V, 1.08 psi, 6.19 psi
2024-11-04 03:47:07: 53.34 V, 1.15 psi, 6.19 psi
2024-11-04 03:48:07: 53.38 V, 1.19 psi, 6.19 psi
2024-11-04 03:49:07: 53.40 V, 1.26 psi, 6.19 psi
2024-11-04 03:50:07: 53.41 V, 1.31 psi, 6.19 psi
2024-11-04 03:51:07: 53.44 V, 1.39 psi, 6.19 psi
2024-11-04 03:52:07: 53.46 V, 1.43 psi, 6.19 psi
2024-11-04 03:53:07: 53.46 V, 1.49 psi, 6.19 psi
2024-11-04 03:54:07: 53.51 V, 1.56 psi, 6.19 psi
2024-11-04 03:55:07: 53.41 V, 1.61 psi, 6.19 psi
2024-11-04 03:56:07: 53.56 V, 1.69 psi, 6.19 psi
2024-11-04 03:57:07: 53.59 V, 1.74 psi, 6.20 psi
2024-11-04 03:58:07: 53.58 V, 1.83 psi, 6.20 psi
2024-11-04 03:59:08: 53.65 V, 1.90 psi, 6.20 psi
2024-11-04 04:00:08: 53.67 V, 1.96 psi, 6.20 psi
2024-11-04 04:01:08: 53.71 V, 2.04 psi, 6.20 psi
2024-11-04 04:02:08: 53.73 V, 2.09 psi, 6.20 psi
2024-11-04 04:03:08: 53.71 V, 2.04 psi, 6.20 psi
2024-11-04 04:04:08: 53.67 V, 1.95 psi, 6.21 psi
2024-11-04 04:05:08: 53.62 V, 1.91 psi, 6.21 psi
2024-11-04 04:06:08: 53.52 V, 1.86 psi, 6.21 psi
2024-11-04 04:07:08: 53.50 V, 1.82 psi, 6.21 psi
2024-11-04 04:08:08: 53.71 V, 1.80 psi, 6.21 psi
2024-11-04 04:09:08: 53.69 V, 1.75 psi, 6.21 psi
2024-11-04 04:10:08: 53.57 V, 1.70 psi, 6.21 psi
2024-11-04 04:11:08: 53.54 V, 1.65 psi, 6.21 psi
2024-11-04 04:12:08: 53.52 V, 1.59 psi, 6.22 psi
2024-11-04 04:13:08: 53.49 V, 1.51 psi, 6.21 psi
2024-11-04 04:14:08: 53.43 V, 1.43 psi, 6.21 psi
2024-11-04 04:15:08: 53.44 V, 1.37 psi, 6.21 psi
2024-11-04 04:16:09: 53.41 V, 1.28 psi, 6.22 psi
2024-11-04 04:17:09: 53.39 V, 1.22 psi, 6.21 psi
2024-11-04 04:18:09: 53.36 V, 1.14 psi, 6.21 psi
2024-11-04 04:19:09: 53.33 V, 1.09 psi, 6.21 psi
2024-11-04 04:20:09: 53.30 V, 1.01 psi, 6.21 psi
2024-11-04 04:21:09: 53.24 V, 0.95 psi, 6.21 psi
2024-11-04 04:22:09: 53.37 V, 0.89 psi, 6.21 psi
2024-11-04 04:23:09: 53.33 V, 0.82 psi, 6.21 psi
2024-11-04 04:24:09: 53.43 V, 0.78 psi, 6.21 psi
2024-11-04 04:25:09: 53.30 V, 0.72 psi, 6.21 psi
2024-11-04 04:26:09: 53.17 V, 0.69 psi, 6.21 psi
2024-11-04 04:27:09: 53.16 V, 0.65 psi, 6.20 psi
2024-11-04 04:28:09: 53.60 V, 0.62 psi, 6.20 psi
2024-11-04 04:29:09: 53.24 V, 0.60 psi, 6.21 psi
2024-11-04 04:30:09: 53.20 V, 0.56 psi, 6.20 psi
2024-11-04 04:31:09: 53.28 V, 0.54 psi, 6.20 psi
2024-11-04 04:32:10: 53.30 V, 0.49 psi, 6.20 psi
2024-11-04 04:33:10: 53.24 V, 0.46 psi, 6.20 psi
2024-11-04 04:34:10: 53.38 V, 0.44 psi, 6.20 psi
2024-11-04 04:35:10: 53.36 V, 0.41 psi, 6.20 psi
2024-11-04 04:36:10: 53.45 V, 0.39 psi, 6.20 psi
2024-11-04 04:37:10: 53.45 V, 0.36 psi, 6.20 psi
2024-11-04 04:38:10: 53.33 V, 0.34 psi, 6.20 psi
2024-11-04 04:39:10: 53.33 V, 0.31 psi, 6.20 psi
2024-11-04 04:40:10: 53.28 V, 0.29 psi, 6.20 psi
2024-11-04 04:41:10: 53.31 V, 0.27 psi, 6.20 psi
2024-11-04 04:42:10: 53.31 V, 0.24 psi, 6.20 psi
2024-11-04 04:43:10: 53.57 V, 0.36 psi, 6.20 psi
2024-11-04 04:44:10: 53.58 V, 0.39 psi, 6.20 psi
2024-11-04 04:45:10: 53.60 V, 0.45 psi, 6.20 psi
2024-11-04 04:46:10: 53.52 V, 0.49 psi, 6.20 psi
2024-11-04 04:47:10: 53.58 V, 0.54 psi, 6.20 psi
2024-11-04 04:48:11: 53.65 V, 0.58 psi, 6.20 psi
2024-11-04 04:49:11: 53.65 V, 0.62 psi, 6.20 psi
2024-11-04 04:50:11: 53.80 V, 0.68 psi, 6.20 psi
2024-11-04 04:51:11: 53.81 V, 0.72 psi, 6.20 psi
2024-11-04 04:52:11: 53.62 V, 0.78 psi, 6.20 psi
2024-11-04 04:53:11: 53.63 V, 0.81 psi, 6.20 psi
2024-11-04 04:54:11: 53.76 V, 0.87 psi, 6.20 psi
2024-11-04 04:55:11: 53.67 V, 0.91 psi, 6.20 psi
2024-11-04 04:56:11: 53.62 V, 0.96 psi, 6.20 psi
2024-11-04 04:57:11: 53.70 V, 1.01 psi, 6.20 psi
2024-11-04 04:58:11: 53.70 V, 1.05 psi, 6.20 psi
2024-11-04 04:59:11: 53.72 V, 1.12 psi, 6.20 psi
2024-11-04 05:00:11: 53.66 V, 1.17 psi, 6.19 psi
2024-11-04 05:01:11: 53.69 V, 1.22 psi, 6.20 psi
2024-11-04 05:02:11: 53.81 V, 1.29 psi, 6.19 psi
2024-11-04 05:03:11: 53.84 V, 1.34 psi, 6.19 psi
2024-11-04 05:04:11: 53.76 V, 1.41 psi, 6.19 psi
2024-11-04 05:05:12: 53.67 V, 1.46 psi, 6.20 psi
2024-11-04 05:06:12: 53.79 V, 1.53 psi, 6.19 psi
2024-11-04 05:07:12: 53.84 V, 1.59 psi, 6.19 psi
2024-11-04 05:08:12: 53.83 V, 1.65 psi, 6.19 psi
2024-11-04 05:09:12: 53.79 V, 1.72 psi, 6.19 psi
2024-11-04 05:10:12: 53.81 V, 1.77 psi, 6.19 psi
2024-11-04 05:11:12: 53.85 V, 1.85 psi, 6.19 psi
2024-11-04 05:12:12: 53.87 V, 1.91 psi, 6.19 psi
2024-11-04 05:13:12: 53.91 V, 1.98 psi, 6.19 psi
2024-11-04 05:14:12: 53.92 V, 2.04 psi, 6.20 psi
2024-11-04 05:15:12: 53.92 V, 2.11 psi, 6.20 psi
2024-11-04 05:16:12: 53.89 V, 2.01 psi, 6.20 psi
2024-11-04 05:17:12: 53.84 V, 1.92 psi, 6.20 psi
2024-11-04 05:18:12: 53.84 V, 1.89 psi, 6.20 psi
2024-11-04 05:19:12: 53.83 V, 1.84 psi, 6.20 psi
2024-11-04 05:20:12: 53.84 V, 1.82 psi, 6.20 psi
2024-11-04 05:21:12: 53.82 V, 1.78 psi, 6.20 psi
2024-11-04 05:22:13: 53.79 V, 1.75 psi, 6.21 psi
2024-11-04 05:23:13: 53.78 V, 1.69 psi, 6.20 psi
2024-11-04 05:24:13: 53.73 V, 1.62 psi, 6.21 psi
2024-11-04 05:25:13: 53.83 V, 1.56 psi, 6.21 psi
2024-11-04 05:27:13: 53.89 V, 1.42 psi, 6.21 psi
2024-11-04 05:28:13: 53.85 V, 1.34 psi, 6.21 psi
2024-11-04 05:29:13: 53.72 V, 1.28 psi, 6.21 psi
2024-11-04 05:30:13: 53.70 V, 1.22 psi, 6.21 psi
2024-11-04 05:31:13: 53.67 V, 1.14 psi, 6.21 psi
2024-11-04 05:32:13: 53.75 V, 1.08 psi, 6.21 psi
2024-11-04 05:33:13: 53.84 V, 1.01 psi, 6.21 psi
2024-11-04 05:34:13: 53.78 V, 0.95 psi, 6.21 psi
2024-11-04 05:35:13: 53.78 V, 0.89 psi, 6.21 psi
2024-11-04 05:36:13: 53.64 V, 0.82 psi, 6.22 psi
2024-11-04 05:37:13: 53.85 V, 0.78 psi, 6.22 psi
2024-11-04 05:38:14: 53.83 V, 0.73 psi, 6.21 psi
2024-11-04 05:39:14: 53.82 V, 0.70 psi, 6.22 psi
2024-11-04 05:40:14: 53.69 V, 0.65 psi, 6.21 psi
2024-11-04 05:41:14: 53.73 V, 0.63 psi, 6.21 psi
2024-11-04 05:42:14: 53.83 V, 0.58 psi, 6.22 psi
2024-11-04 05:43:14: 53.85 V, 0.55 psi, 6.21 psi
2024-11-04 05:44:14: 53.95 V, 0.52 psi, 6.21 psi
2024-11-04 05:45:14: 53.95 V, 0.48 psi, 6.21 psi
2024-11-04 05:46:14: 53.94 V, 0.47 psi, 6.21 psi
2024-11-04 05:47:14: 53.94 V, 0.43 psi, 6.21 psi
2024-11-04 05:48:14: 54.03 V, 0.42 psi, 6.21 psi
2024-11-04 05:49:14: 54.02 V, 0.38 psi, 6.20 psi
2024-11-04 05:50:14: 53.98 V, 0.36 psi, 6.20 psi
2024-11-04 05:51:14: 54.11 V, 0.33 psi, 6.20 psi
2024-11-04 05:52:14: 54.09 V, 0.30 psi, 6.20 psi
2024-11-04 05:53:14: 54.10 V, 0.29 psi, 6.20 psi
2024-11-04 05:54:14: 54.08 V, 0.26 psi, 6.20 psi
2024-11-04 05:55:15: 54.07 V, 0.25 psi, 6.20 psi
2024-11-04 05:56:15: 54.23 V, 0.36 psi, 6.20 psi
2024-11-04 05:57:15: 54.23 V, 0.42 psi, 6.19 psi
2024-11-04 05:58:15: 54.26 V, 0.45 psi, 6.19 psi
2024-11-04 05:59:15: 54.27 V, 0.48 psi, 6.20 psi
2024-11-04 06:00:15: 54.42 V, 0.56 psi, 6.19 psi
2024-11-04 06:01:15: 54.44 V, 0.60 psi, 6.19 psi
2024-11-04 06:02:15: 54.41 V, 0.64 psi, 6.19 psi
2024-11-04 06:04:15: 54.27 V, 0.73 psi, 6.19 psi
2024-11-04 06:05:15: 54.40 V, 0.79 psi, 6.19 psi
2024-11-04 06:06:15: 54.41 V, 0.82 psi, 6.19 psi
2024-11-04 06:07:15: 54.32 V, 0.88 psi, 6.19 psi
2024-11-04 06:08:15: 54.34 V, 0.92 psi, 6.19 psi
2024-11-04 06:09:15: 54.33 V, 0.98 psi, 6.19 psi
2024-11-04 06:10:15: 54.39 V, 1.02 psi, 6.19 psi
2024-11-04 06:11:15: 54.40 V, 1.06 psi, 6.19 psi
2024-11-04 06:12:16: 54.42 V, 1.13 psi, 6.18 psi
2024-11-04 06:13:16: 54.44 V, 1.17 psi, 6.19 psi
2024-11-04 06:14:16: 54.57 V, 1.25 psi, 6.19 psi
2024-11-04 06:15:16: 54.60 V, 1.30 psi, 6.19 psi
2024-11-04 06:16:16: 54.36 V, 1.37 psi, 6.18 psi
2024-11-04 06:18:16: 54.30 V, 1.47 psi, 6.18 psi
2024-11-04 06:19:16: 54.47 V, 1.55 psi, 6.19 psi
2024-11-04 06:20:16: 54.49 V, 1.60 psi, 6.19 psi
2024-11-04 06:22:16: 54.55 V, 1.73 psi, 6.19 psi
2024-11-04 06:23:16: 54.59 V, 1.81 psi, 6.19 psi
2024-11-04 06:24:16: 54.49 V, 1.87 psi, 6.20 psi
2024-11-04 06:25:16: 54.48 V, 1.94 psi, 6.20 psi
2024-11-04 06:26:16: 54.44 V, 2.00 psi, 6.20 psi
2024-11-04 06:27:16: 54.46 V, 2.06 psi, 6.20 psi
2024-11-04 06:28:17: 54.45 V, 2.05 psi, 6.20 psi
2024-11-04 06:29:17: 54.41 V, 1.96 psi, 6.20 psi
2024-11-04 06:30:17: 54.51 V, 1.91 psi, 6.21 psi
2024-11-04 06:31:17: 54.39 V, 1.89 psi, 6.20 psi
2024-11-04 06:32:17: 54.37 V, 1.84 psi, 6.21 psi
2024-11-04 06:33:17: 54.48 V, 1.82 psi, 6.21 psi
2024-11-04 06:34:17: 54.46 V, 1.77 psi, 6.21 psi
