2024-10-28 00:00:48: 52.59 V, 1.56 psi, 1.70 psi
2024-10-28 00:51:51: 53.73 V, 0.52 psi, 0.63 psi
2024-10-28 00:52:51: 53.73 V, 0.50 psi, 0.61 psi
2024-10-28 00:53:51: 53.73 V, 0.49 psi, 0.60 psi
2024-10-28 00:54:51: 53.73 V, 0.47 psi, 0.58 psi
2024-10-28 00:55:51: 53.73 V, 0.46 psi, 0.57 psi
2024-10-28 00:56:51: 53.73 V, 0.45 psi, 0.56 psi
2024-10-28 00:57:51: 53.73 V, 0.44 psi, 0.54 psi
2024-10-28 00:58:51: 53.73 V, 0.42 psi, 0.53 psi
2024-10-28 00:59:51: 53.73 V, 0.41 psi, 0.51 psi
2024-10-28 01:00:52: 53.73 V, 0.40 psi, 0.51 psi
2024-10-28 01:01:52: 53.73 V, 0.39 psi, 0.49 psi
2024-10-28 01:02:52: 53.73 V, 0.38 psi, 0.48 psi
2024-10-28 01:03:52: 53.73 V, 0.37 psi, 0.47 psi
2024-10-28 01:04:52: 54.02 V, 0.35 psi, 0.45 psi
2024-10-28 01:05:52: 54.02 V, 0.34 psi, 0.44 psi
2024-10-28 01:06:52: 54.02 V, 0.32 psi, 0.43 psi
2024-10-28 01:07:52: 54.02 V, 0.32 psi, 0.42 psi
2024-10-28 01:08:52: 54.02 V, 0.30 psi, 0.41 psi
2024-10-28 01:09:52: 54.30 V, 0.29 psi, 0.40 psi
2024-10-28 01:10:52: 54.30 V, 0.28 psi, 0.39 psi
2024-10-28 01:11:52: 54.30 V, 0.27 psi, 0.38 psi
2024-10-28 01:12:52: 54.30 V, 0.26 psi, 0.36 psi
2024-10-28 01:13:52: 54.30 V, 0.26 psi, 0.35 psi
2024-10-28 01:14:52: 54.30 V, 0.24 psi, 0.34 psi
2024-10-28 01:15:52: 54.87 V, 0.32 psi, 0.37 psi
2024-10-28 01:16:53: 54.87 V, 0.33 psi, 0.39 psi
2024-10-28 01:17:53: 55.16 V, 0.35 psi, 0.41 psi
2024-10-28 01:18:53: 55.16 V, 0.36 psi, 0.42 psi
2024-10-28 01:19:53: 55.16 V, 0.37 psi, 0.44 psi
2024-10-28 01:20:53: 54.59 V, 0.40 psi, 0.46 psi
2024-10-28 01:21:53: 54.59 V, 0.41 psi, 0.48 psi
2024-10-28 01:22:53: 55.16 V, 0.44 psi, 0.50 psi
2024-10-28 01:23:53: 55.16 V, 0.45 psi, 0.52 psi
2024-10-28 01:24:53: 54.59 V, 0.48 psi, 0.53 psi
2024-10-28 01:25:53: 54.59 V, 0.49 psi, 0.55 psi
2024-10-28 01:26:53: 54.59 V, 0.52 psi, 0.58 psi
2024-10-28 01:27:53: 54.59 V, 0.53 psi, 0.59 psi
2024-10-28 01:28:53: 54.59 V, 0.54 psi, 0.61 psi
2024-10-28 01:29:53: 54.59 V, 0.57 psi, 0.64 psi
2024-10-28 01:30:53: 54.59 V, 0.58 psi, 0.65 psi
2024-10-28 01:31:53: 54.59 V, 0.61 psi, 0.67 psi
2024-10-28 01:32:53: 54.59 V, 0.63 psi, 0.69 psi
2024-10-28 01:33:53: 54.59 V, 0.66 psi, 0.72 psi
2024-10-28 01:35:54: 54.87 V, 0.69 psi, 0.76 psi
2024-10-28 01:36:54: 54.59 V, 0.72 psi, 0.78 psi
2024-10-28 01:37:54: 54.59 V, 0.72 psi, 0.80 psi
2024-10-28 01:38:54: 54.30 V, 0.75 psi, 0.82 psi
2024-10-28 01:39:54: 54.30 V, 0.77 psi, 0.84 psi
2024-10-28 01:40:54: 54.30 V, 0.79 psi, 0.86 psi
2024-10-28 01:41:54: 54.59 V, 0.81 psi, 0.88 psi
2024-10-28 01:42:54: 54.59 V, 0.82 psi, 0.90 psi
2024-10-28 01:43:54: 54.59 V, 0.85 psi, 0.92 psi
2024-10-28 01:44:54: 54.59 V, 0.86 psi, 0.94 psi
2024-10-28 01:45:54: 54.59 V, 0.88 psi, 0.96 psi
2024-10-28 01:46:54: 54.59 V, 0.90 psi, 0.97 psi
2024-10-28 01:47:54: 54.59 V, 0.92 psi, 0.99 psi
2024-10-28 01:48:54: 54.59 V, 0.94 psi, 1.02 psi
2024-10-28 01:49:54: 54.59 V, 0.97 psi, 1.04 psi
2024-10-28 01:50:55: 54.59 V, 0.98 psi, 1.05 psi
2024-10-28 01:51:55: 54.59 V, 0.98 psi, 1.08 psi
2024-10-28 01:52:55: 54.59 V, 1.01 psi, 1.10 psi
2024-10-28 01:53:55: 54.59 V, 1.04 psi, 1.11 psi
2024-10-28 01:54:55: 54.59 V, 1.07 psi, 1.14 psi
2024-10-28 01:55:55: 54.59 V, 1.08 psi, 1.16 psi
2024-10-28 01:56:55: 54.59 V, 1.11 psi, 1.18 psi
2024-10-28 01:57:55: 54.59 V, 1.12 psi, 1.20 psi
2024-10-28 01:58:55: 54.59 V, 1.16 psi, 1.21 psi
2024-10-28 01:59:55: 54.59 V, 1.17 psi, 1.24 psi
2024-10-28 02:00:55: 54.59 V, 1.18 psi, 1.25 psi
2024-10-28 02:01:55: 54.59 V, 1.21 psi, 1.28 psi
2024-10-28 02:02:55: 54.59 V, 1.23 psi, 1.30 psi
2024-10-28 02:03:55: 54.59 V, 1.25 psi, 1.32 psi
2024-10-28 02:04:55: 54.59 V, 1.28 psi, 1.35 psi
2024-10-28 02:05:55: 54.59 V, 1.30 psi, 1.37 psi
2024-10-28 02:06:55: 54.59 V, 1.32 psi, 1.39 psi
2024-10-28 02:07:56: 54.59 V, 1.34 psi, 1.42 psi
2024-10-28 02:08:56: 54.59 V, 1.37 psi, 1.44 psi
2024-10-28 02:09:56: 54.30 V, 1.39 psi, 1.46 psi
2024-10-28 02:10:56: 54.30 V, 1.41 psi, 1.48 psi
2024-10-28 02:11:56: 54.30 V, 1.43 psi, 1.50 psi
2024-10-28 02:12:56: 54.30 V, 1.45 psi, 1.52 psi
2024-10-28 02:13:56: 54.59 V, 1.48 psi, 1.55 psi
2024-10-28 02:14:56: 54.59 V, 1.50 psi, 1.57 psi
2024-10-28 02:15:56: 54.30 V, 1.51 psi, 1.59 psi
2024-10-28 02:16:57: 54.30 V, 1.51 psi, 1.61 psi
2024-10-28 02:17:57: 54.30 V, 1.55 psi, 1.64 psi
2024-10-28 02:18:57: 54.02 V, 1.58 psi, 1.66 psi
2024-10-28 02:19:57: 54.02 V, 1.60 psi, 1.68 psi
2024-10-28 02:20:57: 54.30 V, 1.63 psi, 1.71 psi
2024-10-28 02:21:57: 54.30 V, 1.65 psi, 1.73 psi
2024-10-28 02:22:57: 54.30 V, 1.68 psi, 1.75 psi
2024-10-28 02:23:57: 54.30 V, 1.70 psi, 1.78 psi
2024-10-28 02:24:58: 54.30 V, 1.71 psi, 1.80 psi
2024-10-28 02:25:58: 54.30 V, 1.74 psi, 1.82 psi
2024-10-28 02:26:58: 54.30 V, 1.76 psi, 1.85 psi
2024-10-28 02:27:58: 54.59 V, 1.79 psi, 1.87 psi
2024-10-28 02:28:58: 54.59 V, 1.82 psi, 1.89 psi
2024-10-28 02:29:58: 54.30 V, 1.85 psi, 1.92 psi
2024-10-28 02:30:58: 54.30 V, 1.86 psi, 1.94 psi
2024-10-28 02:31:58: 54.30 V, 1.89 psi, 1.97 psi
2024-10-28 02:32:58: 54.30 V, 1.91 psi, 1.99 psi
2024-10-28 02:33:58: 54.30 V, 1.92 psi, 2.01 psi
2024-10-28 02:34:58: 54.02 V, 1.97 psi, 2.04 psi
2024-10-28 02:35:58: 54.30 V, 1.98 psi, 2.07 psi
2024-10-28 02:36:58: 54.30 V, 2.01 psi, 2.09 psi
2024-10-28 02:37:58: 54.02 V, 2.03 psi, 2.11 psi
2024-10-28 02:38:58: 54.02 V, 2.00 psi, 2.10 psi
2024-10-28 02:39:58: 54.30 V, 2.00 psi, 2.09 psi
2024-10-28 02:40:58: 54.30 V, 2.00 psi, 2.09 psi
2024-10-28 02:41:59: 54.30 V, 2.02 psi, 2.10 psi
2024-10-28 02:42:59: 54.30 V, 2.02 psi, 2.10 psi
2024-10-28 02:43:59: 54.30 V, 2.02 psi, 2.10 psi
2024-10-28 02:44:59: 54.59 V, 2.02 psi, 2.10 psi
2024-10-28 02:45:59: 54.59 V, 2.01 psi, 2.10 psi
2024-10-28 02:46:59: 54.30 V, 2.01 psi, 2.10 psi
2024-10-28 02:47:59: 54.30 V, 2.00 psi, 2.09 psi
2024-10-28 02:48:59: 54.30 V, 1.99 psi, 2.08 psi
2024-10-28 02:49:59: 54.30 V, 1.96 psi, 2.06 psi
2024-10-28 02:50:59: 54.30 V, 1.95 psi, 2.05 psi
2024-10-28 02:51:59: 54.30 V, 1.93 psi, 2.03 psi
2024-10-28 02:52:59: 54.30 V, 1.91 psi, 2.01 psi
2024-10-28 02:54:00: 54.30 V, 1.89 psi, 1.99 psi
2024-10-28 02:55:00: 54.30 V, 1.85 psi, 1.97 psi
2024-10-28 02:56:00: 54.59 V, 1.84 psi, 1.94 psi
2024-10-28 02:57:00: 54.59 V, 1.80 psi, 1.92 psi
2024-10-28 02:58:00: 54.59 V, 1.77 psi, 1.89 psi
2024-10-28 02:59:01: 54.59 V, 1.75 psi, 1.87 psi
2024-10-28 03:00:01: 54.59 V, 1.72 psi, 1.84 psi
2024-10-28 03:01:01: 54.59 V, 1.69 psi, 1.82 psi
2024-10-28 03:02:01: 54.59 V, 1.65 psi, 1.78 psi
2024-10-28 03:03:01: 54.59 V, 1.62 psi, 1.76 psi
2024-10-28 03:04:01: 54.59 V, 1.59 psi, 1.73 psi
2024-10-28 03:05:01: 54.59 V, 1.58 psi, 1.70 psi
2024-10-28 03:06:01: 54.59 V, 1.55 psi, 1.68 psi
2024-10-28 03:07:01: 54.59 V, 1.52 psi, 1.65 psi
2024-10-28 03:08:01: 54.87 V, 1.50 psi, 1.62 psi
2024-10-28 03:09:01: 54.87 V, 1.46 psi, 1.59 psi
2024-10-28 03:10:01: 54.87 V, 1.44 psi, 1.57 psi
2024-10-28 03:11:01: 54.59 V, 1.41 psi, 1.55 psi
2024-10-28 03:12:01: 54.59 V, 1.38 psi, 1.51 psi
2024-10-28 03:13:01: 54.59 V, 1.37 psi, 1.49 psi
2024-10-28 03:14:01: 54.59 V, 1.33 psi, 1.46 psi
2024-10-28 03:15:01: 54.87 V, 1.30 psi, 1.44 psi
2024-10-28 03:16:02: 54.87 V, 1.27 psi, 1.42 psi
2024-10-28 03:17:02: 54.87 V, 1.25 psi, 1.39 psi
2024-10-28 03:18:02: 54.87 V, 1.23 psi, 1.36 psi
2024-10-28 03:19:02: 54.87 V, 1.20 psi, 1.33 psi
2024-10-28 03:20:02: 54.59 V, 1.18 psi, 1.31 psi
2024-10-28 03:21:02: 54.59 V, 1.16 psi, 1.28 psi
2024-10-28 03:22:02: 54.59 V, 1.13 psi, 1.26 psi
2024-10-28 03:23:02: 54.59 V, 1.10 psi, 1.24 psi
2024-10-28 03:24:02: 54.87 V, 1.09 psi, 1.21 psi
2024-10-28 03:25:02: 54.87 V, 1.05 psi, 1.19 psi
2024-10-28 03:26:02: 54.87 V, 1.04 psi, 1.16 psi
2024-10-28 03:27:02: 54.87 V, 1.01 psi, 1.14 psi
2024-10-28 03:28:02: 54.87 V, 0.99 psi, 1.11 psi
2024-10-28 03:29:02: 54.87 V, 0.97 psi, 1.09 psi
2024-10-28 03:30:02: 54.87 V, 0.95 psi, 1.07 psi
2024-10-28 03:31:02: 54.87 V, 0.93 psi, 1.05 psi
2024-10-28 03:32:02: 54.87 V, 0.92 psi, 1.03 psi
2024-10-28 03:33:03: 54.87 V, 0.90 psi, 1.01 psi
2024-10-28 03:34:03: 54.87 V, 0.88 psi, 0.99 psi
2024-10-28 03:35:03: 54.87 V, 0.85 psi, 0.97 psi
2024-10-28 03:36:03: 55.16 V, 0.85 psi, 0.96 psi
2024-10-28 03:37:03: 54.87 V, 0.83 psi, 0.94 psi
2024-10-28 03:38:03: 54.87 V, 0.80 psi, 0.92 psi
2024-10-28 03:39:03: 54.87 V, 0.80 psi, 0.90 psi
2024-10-28 03:40:03: 54.87 V, 0.77 psi, 0.88 psi
2024-10-28 03:41:03: 54.59 V, 0.75 psi, 0.87 psi
2024-10-28 03:42:03: 54.59 V, 0.74 psi, 0.85 psi
2024-10-28 03:43:03: 54.59 V, 0.73 psi, 0.84 psi
2024-10-28 03:44:03: 54.59 V, 0.71 psi, 0.82 psi
2024-10-28 03:45:03: 54.59 V, 0.70 psi, 0.80 psi
2024-10-28 03:46:03: 54.87 V, 0.68 psi, 0.79 psi
2024-10-28 03:47:03: 54.87 V, 0.65 psi, 0.77 psi
2024-10-28 03:48:03: 54.59 V, 0.64 psi, 0.76 psi
2024-10-28 03:49:03: 54.59 V, 0.63 psi, 0.74 psi
2024-10-28 03:50:04: 54.59 V, 0.62 psi, 0.72 psi
2024-10-28 03:52:04: 54.59 V, 0.58 psi, 0.69 psi
2024-10-28 03:53:04: 54.59 V, 0.57 psi, 0.68 psi
2024-10-28 03:54:04: 54.59 V, 0.55 psi, 0.66 psi
2024-10-28 03:55:04: 54.59 V, 0.53 psi, 0.65 psi
2024-10-28 03:56:04: 54.59 V, 0.52 psi, 0.63 psi
2024-10-28 03:57:04: 54.87 V, 0.51 psi, 0.61 psi
2024-10-28 03:58:04: 54.87 V, 0.49 psi, 0.60 psi
2024-10-28 03:59:04: 54.59 V, 0.48 psi, 0.59 psi
2024-10-28 04:00:04: 54.59 V, 0.47 psi, 0.57 psi
2024-10-28 04:01:04: 54.59 V, 0.45 psi, 0.55 psi
2024-10-28 04:02:04: 54.87 V, 0.44 psi, 0.54 psi
2024-10-28 04:04:04: 54.87 V, 0.42 psi, 0.51 psi
2024-10-28 04:05:04: 54.87 V, 0.39 psi, 0.49 psi
2024-10-28 04:06:05: 54.87 V, 0.39 psi, 0.48 psi
2024-10-28 04:07:05: 55.16 V, 0.37 psi, 0.47 psi
2024-10-28 04:08:05: 55.16 V, 0.36 psi, 0.46 psi
2024-10-28 04:09:05: 55.16 V, 0.35 psi, 0.44 psi
2024-10-28 04:10:05: 55.16 V, 0.34 psi, 0.43 psi
2024-10-28 04:11:05: 55.16 V, 0.33 psi, 0.42 psi
2024-10-28 04:12:05: 55.16 V, 0.31 psi, 0.41 psi
2024-10-28 04:13:05: 55.16 V, 0.31 psi, 0.39 psi
2024-10-28 04:14:05: 55.16 V, 0.29 psi, 0.38 psi
2024-10-28 04:15:05: 55.16 V, 0.27 psi, 0.37 psi
2024-10-28 04:16:05: 55.16 V, 0.28 psi, 0.36 psi
2024-10-28 04:17:05: 55.16 V, 0.26 psi, 0.35 psi
2024-10-28 04:18:05: 55.16 V, 0.25 psi, 0.34 psi
2024-10-28 04:20:05: 55.16 V, 0.33 psi, 0.38 psi
2024-10-28 04:21:05: 55.16 V, 0.34 psi, 0.41 psi
2024-10-28 04:22:05: 55.16 V, 0.35 psi, 0.42 psi
2024-10-28 04:23:06: 55.16 V, 0.38 psi, 0.44 psi
2024-10-28 04:24:06: 55.16 V, 0.39 psi, 0.46 psi
2024-10-28 04:25:06: 55.16 V, 0.42 psi, 0.48 psi
2024-10-28 04:26:06: 55.16 V, 0.42 psi, 0.50 psi
2024-10-28 04:27:06: 55.16 V, 0.45 psi, 0.52 psi
2024-10-28 04:28:06: 55.16 V, 0.46 psi, 0.54 psi
2024-10-28 04:29:06: 55.16 V, 0.48 psi, 0.56 psi
2024-10-28 04:30:06: 55.16 V, 0.50 psi, 0.58 psi
2024-10-28 04:31:06: 55.16 V, 0.52 psi, 0.60 psi
2024-10-28 04:32:06: 55.16 V, 0.55 psi, 0.62 psi
2024-10-28 04:33:06: 55.16 V, 0.56 psi, 0.64 psi
2024-10-28 04:34:06: 55.16 V, 0.59 psi, 0.66 psi
2024-10-28 04:35:06: 55.16 V, 0.59 psi, 0.68 psi
2024-10-28 04:36:06: 55.16 V, 0.61 psi, 0.69 psi
2024-10-28 04:37:06: 55.16 V, 0.63 psi, 0.72 psi
2024-10-28 04:38:06: 55.16 V, 0.64 psi, 0.73 psi
2024-10-28 04:39:06: 55.16 V, 0.67 psi, 0.75 psi
2024-10-28 04:40:06: 55.16 V, 0.69 psi, 0.77 psi
2024-10-28 04:42:07: 55.16 V, 0.72 psi, 0.81 psi
2024-10-28 04:43:07: 55.16 V, 0.75 psi, 0.82 psi
2024-10-28 04:44:07: 55.16 V, 0.76 psi, 0.85 psi
2024-10-28 04:45:07: 55.16 V, 0.78 psi, 0.86 psi
2024-10-28 04:46:07: 55.16 V, 0.80 psi, 0.88 psi
2024-10-28 04:47:07: 55.16 V, 0.81 psi, 0.90 psi
2024-10-28 04:48:07: 55.16 V, 0.84 psi, 0.92 psi
2024-10-28 04:49:07: 55.16 V, 0.86 psi, 0.94 psi
2024-10-28 04:50:07: 55.16 V, 0.87 psi, 0.95 psi
2024-10-28 04:51:07: 55.16 V, 0.89 psi, 0.97 psi
2024-10-28 04:52:07: 55.16 V, 0.91 psi, 0.99 psi
2024-10-28 04:53:07: 55.16 V, 0.93 psi, 1.01 psi
2024-10-28 04:54:07: 55.16 V, 0.95 psi, 1.03 psi
2024-10-28 04:55:07: 55.16 V, 0.97 psi, 1.05 psi
2024-10-28 04:56:07: 55.16 V, 0.99 psi, 1.07 psi
2024-10-28 04:57:08: 54.87 V, 1.02 psi, 1.09 psi
2024-10-28 04:58:08: 54.87 V, 1.04 psi, 1.11 psi
2024-10-28 04:59:08: 54.87 V, 1.05 psi, 1.13 psi
2024-10-28 05:00:08: 54.87 V, 1.08 psi, 1.16 psi
2024-10-28 05:01:08: 54.87 V, 1.09 psi, 1.18 psi
2024-10-28 05:02:08: 54.87 V, 1.12 psi, 1.20 psi
2024-10-28 05:03:08: 54.87 V, 1.13 psi, 1.22 psi
2024-10-28 05:04:08: 55.16 V, 1.17 psi, 1.24 psi
2024-10-28 05:05:08: 55.16 V, 1.18 psi, 1.26 psi
2024-10-28 05:06:08: 55.16 V, 1.20 psi, 1.28 psi
2024-10-28 05:07:08: 55.16 V, 1.24 psi, 1.31 psi
2024-10-28 05:08:08: 54.87 V, 1.25 psi, 1.33 psi
2024-10-28 05:09:08: 54.87 V, 1.26 psi, 1.35 psi
2024-10-28 05:10:08: 55.16 V, 1.28 psi, 1.38 psi
2024-10-28 05:11:08: 55.16 V, 1.31 psi, 1.40 psi
2024-10-28 05:12:08: 55.16 V, 1.33 psi, 1.43 psi
2024-10-28 05:13:08: 55.16 V, 1.34 psi, 1.45 psi
2024-10-28 05:14:08: 55.16 V, 1.38 psi, 1.47 psi
2024-10-28 05:15:09: 54.87 V, 1.40 psi, 1.49 psi
2024-10-28 05:16:09: 54.87 V, 1.42 psi, 1.51 psi
2024-10-28 05:17:09: 54.87 V, 1.44 psi, 1.53 psi
2024-10-28 05:18:09: 54.87 V, 1.46 psi, 1.55 psi
2024-10-28 05:19:09: 55.16 V, 1.49 psi, 1.57 psi
2024-10-28 05:20:09: 55.16 V, 1.51 psi, 1.59 psi
2024-10-28 05:21:09: 54.87 V, 1.52 psi, 1.62 psi
2024-10-28 05:22:09: 54.87 V, 1.54 psi, 1.64 psi
2024-10-28 05:23:09: 54.87 V, 1.57 psi, 1.66 psi
2024-10-28 05:24:09: 54.87 V, 1.60 psi, 1.68 psi
2024-10-28 05:25:09: 54.87 V, 1.62 psi, 1.70 psi
2024-10-28 05:26:09: 54.87 V, 1.64 psi, 1.73 psi
2024-10-28 05:27:09: 54.87 V, 1.66 psi, 1.75 psi
2024-10-28 05:28:09: 54.87 V, 1.69 psi, 1.77 psi
2024-10-28 05:29:09: 54.87 V, 1.71 psi, 1.79 psi
2024-10-28 05:30:09: 55.16 V, 1.74 psi, 1.82 psi
2024-10-28 05:31:09: 55.16 V, 1.76 psi, 1.84 psi
2024-10-28 05:32:10: 55.16 V, 1.77 psi, 1.86 psi
2024-10-28 05:33:10: 54.87 V, 1.80 psi, 1.89 psi
2024-10-28 05:34:10: 54.87 V, 1.82 psi, 1.91 psi
2024-10-28 05:35:10: 54.87 V, 1.86 psi, 1.94 psi
2024-10-28 05:36:10: 54.87 V, 1.87 psi, 1.96 psi
2024-10-28 05:37:10: 54.87 V, 1.89 psi, 1.99 psi
2024-10-28 05:38:10: 54.87 V, 1.93 psi, 2.01 psi
2024-10-28 05:39:10: 54.87 V, 1.95 psi, 2.04 psi
2024-10-28 05:40:10: 54.59 V, 1.98 psi, 2.07 psi
2024-10-28 05:41:10: 54.59 V, 2.00 psi, 2.09 psi
2024-10-28 05:42:10: 54.87 V, 2.03 psi, 2.12 psi
2024-10-28 05:43:10: 54.87 V, 2.00 psi, 2.11 psi
2024-10-28 05:44:10: 54.87 V, 2.00 psi, 2.11 psi
2024-10-28 05:45:10: 54.87 V, 2.02 psi, 2.11 psi
2024-10-28 05:46:10: 54.87 V, 2.01 psi, 2.11 psi
2024-10-28 05:47:10: 54.59 V, 2.03 psi, 2.12 psi
2024-10-28 05:48:10: 54.59 V, 2.03 psi, 2.12 psi
2024-10-28 05:49:11: 54.87 V, 2.04 psi, 2.13 psi
2024-10-28 05:50:11: 54.87 V, 2.02 psi, 2.13 psi
2024-10-28 05:51:11: 54.87 V, 2.02 psi, 2.13 psi
2024-10-28 05:52:11: 54.87 V, 2.02 psi, 2.12 psi
2024-10-28 05:53:11: 54.87 V, 2.00 psi, 2.11 psi
2024-10-28 05:54:11: 55.16 V, 1.99 psi, 2.10 psi
2024-10-28 05:55:11: 55.16 V, 1.97 psi, 2.09 psi
2024-10-28 05:56:11: 54.87 V, 1.96 psi, 2.07 psi
2024-10-28 05:57:11: 54.87 V, 1.92 psi, 2.05 psi
2024-10-28 05:58:11: 54.87 V, 1.91 psi, 2.03 psi
2024-10-28 05:59:11: 54.87 V, 1.88 psi, 2.01 psi
2024-10-28 06:00:11: 54.87 V, 1.84 psi, 1.98 psi
2024-10-28 06:01:11: 54.87 V, 1.83 psi, 1.96 psi
2024-10-28 06:02:11: 54.87 V, 1.79 psi, 1.93 psi
2024-10-28 06:03:11: 54.87 V, 1.78 psi, 1.90 psi
2024-10-28 06:04:11: 55.16 V, 1.74 psi, 1.88 psi
2024-10-28 06:05:11: 55.16 V, 1.72 psi, 1.85 psi
2024-10-28 06:06:12: 55.16 V, 1.69 psi, 1.82 psi
2024-10-28 06:07:12: 55.16 V, 1.65 psi, 1.79 psi
2024-10-28 06:08:12: 55.16 V, 1.64 psi, 1.76 psi
2024-10-28 06:09:12: 55.16 V, 1.60 psi, 1.74 psi
2024-10-28 06:10:12: 55.16 V, 1.57 psi, 1.71 psi
2024-10-28 06:11:12: 55.16 V, 1.54 psi, 1.68 psi
2024-10-28 06:12:12: 55.16 V, 1.50 psi, 1.65 psi
2024-10-28 06:13:12: 55.16 V, 1.49 psi, 1.62 psi
2024-10-28 06:14:12: 55.16 V, 1.45 psi, 1.59 psi
2024-10-28 06:15:12: 55.16 V, 1.44 psi, 1.57 psi
2024-10-28 06:16:12: 55.16 V, 1.40 psi, 1.54 psi
2024-10-28 06:17:12: 55.16 V, 1.37 psi, 1.51 psi
2024-10-28 06:18:12: 55.16 V, 1.35 psi, 1.49 psi
2024-10-28 06:20:12: 55.16 V, 1.30 psi, 1.44 psi
2024-10-28 06:21:12: 55.16 V, 1.28 psi, 1.41 psi
2024-10-28 06:22:12: 55.16 V, 1.25 psi, 1.39 psi
2024-10-28 06:23:13: 55.16 V, 1.23 psi, 1.36 psi
2024-10-28 06:24:13: 55.16 V, 1.20 psi, 1.33 psi
2024-10-28 06:25:13: 55.16 V, 1.18 psi, 1.30 psi
2024-10-28 06:26:13: 55.16 V, 1.14 psi, 1.28 psi
2024-10-28 06:27:13: 55.16 V, 1.11 psi, 1.26 psi
2024-10-28 06:28:13: 55.16 V, 1.09 psi, 1.23 psi
2024-10-28 06:29:13: 55.16 V, 1.07 psi, 1.21 psi
2024-10-28 06:30:13: 55.16 V, 1.05 psi, 1.18 psi
2024-10-28 06:31:13: 55.16 V, 1.03 psi, 1.16 psi
2024-10-28 06:32:13: 55.16 V, 1.01 psi, 1.14 psi
2024-10-28 06:33:13: 55.45 V, 0.98 psi, 1.12 psi
2024-10-28 06:34:13: 55.45 V, 0.97 psi, 1.09 psi
